src_ip,dst_ip,src_port,dst_port,protocol,packet_count,flow_duration,total_bytes,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,large_packet_ratio,mean_iat,std_iat,max_iat,burst_density,mean_burst_time,std_burst_time,idle_ratio,mean_idle_time,std_idle_time
157.154.191.247,17.63.88.203,16242,443,6,6,0.19679594039916992,699,116.5,112.97160410179778,40.0,363.0,0.0,0.03935918807983398,0.02987622407877025,0.06440591812133789,3551.8844885606177,0.19679594039916992,0.0,0.0,0.0,0.0
149.23.31.121,192.58.66.215,8801,44023,17,737,16.942325115203857,193209,262.1560379918589,98.64176001591773,92.0,572.0,0.0,0.023019463471744373,0.016642371339462447,0.10256791114807129,14901.753493860031,0.24463245553790397,0.0,0.23472603139932507,0.07647701868644127,0.012099268821590672
163.172.76.84,170.133.203.200,55751,8801,17,258,16.956642866134644,16327,63.28294573643411,20.294187597372936,55.0,137.0,0.0,0.06597915512114648,0.0761221231272038,0.5820310115814209,1270.6725676351914,1.1680999885905872,0.0,0.24223797020598273,0.41075429916381834,0.1216387676589945
126.168.126.82,133.244.87.245,53023,50849,17,311,16.99853014945984,22798,73.30546623794213,14.614442566688396,66.0,124.0,0.0,0.05483396822406399,0.01767021325435486,0.07895803451538086,1341.1747050111708,16.99853014945984,0.0,0.0,0.0,0.0
150.96.222.11,126.189.235.202,443,30800,6,14,2.1444239616394043,6910,493.57142857142856,612.3011297306153,52.0,1972.0,0.21428571428571427,0.16495568935687727,0.5554075108345542,2.0883610248565674,123252.13669467797,0.028031468391418457,0.0,0.973855957757563,2.0883610248565674,0.0
103.171.199.127,131.129.120.135,443,2328,6,5452,16.998476028442383,11427910,2096.095011005136,671.9837588742831,830.0,2740.0,0.993947175348496,0.003118414241137843,0.005380006367442371,0.08249402046203613,738067.2464925591,0.737312430427188,0.0,0.08912063045040049,0.07574574947357178,0.01019580837007844
203.74.121.117,153.114.47.6,48220,1883,6,539,16.990742921829224,28054,52.04823747680891,0.7344502135247217,52.0,64.0,0.0,0.031581306546150975,0.01093708719676118,0.13473081588745117,1831.2023862447638,0.6383328239123026,0.0,0.09833325460149048,0.07264152817104173,0.018682539160488783
203.74.118.250,144.223.3.71,50363,5004,17,338,16.8385329246521,47036,139.15976331360946,49.61470997695971,64.0,260.0,0.0,0.04996597307018427,0.06261062828556054,0.3521690368652344,4042.534139840164,0.5058815168297809,0.0,0.30900897078393613,0.2365117289803245,0.04699016476121901
43.252.42.23,150.96.88.248,80,52745,6,1846,16.94435405731201,2601952,1409.5081256771398,1646.0096522786337,40.0,17560.0,0.514626218851571,0.009183931738380495,0.01700364191545393,0.09991908073425293,263268.27216529544,0.08903847943555128,0.0,0.41672184134967977,0.06419166218150746,0.012295216420086654
126.86.105.155,133.244.87.98,57976,62096,17,974,16.986560106277466,104892,107.69199178644764,29.75977739588974,58.0,254.0,0.0,0.017457924055783624,0.030178144270936746,0.4855539798736572,7698.460092030347,0.6812530755996704,0.0,0.19789164936049353,0.17692097864652934,0.10837473997114284
203.74.121.117,153.114.47.6,55520,1883,6,545,16.991123914718628,28340,52.0,0.0,52.0,52.0,0.0,0.031233683666762185,0.009206943329580887,0.08059406280517578,1892.433101347062,0.45380088777253125,0.0,0.11863220524492726,0.0629904568195343,0.009270132695698296
150.96.198.114,126.224.160.143,443,59402,6,6676,16.97399401664734,30796250,4612.979328939485,3895.0932396142593,106.0,22760.0,0.9758837627321749,0.0025429204519321854,0.004685833780225557,0.04906511306762695,1814319.4910683318,16.97399401664734,0.0,0.0,0.0,0.0
150.96.192.113,170.133.196.178,50211,8801,17,161,16.99619698524475,9766,60.6583850931677,16.655480731154675,55.0,137.0,0.0,0.1062262311577797,0.1674565308016085,0.7987689971923828,1112.6374998552917,0.6269529376711164,0.0,0.4835702587710687,0.6322196813730093,0.10826034408865495
